Начало записи аннотаций к разметке
Имя файла | Вероятности | Предсказанный класс
68.bmp, [0.9885, 0.0115], 0
25.bmp, [0.9971, 0.0029], 0
81.bmp, [0.9920, 0.0080], 0
176.bmp, [0.9997, 0.0003], 0
175.bmp, [0.9990, 0.0010], 0
85.bmp, [0.9963, 0.0037], 0
47.bmp, [0.9998, 0.0002], 0
98.bmp, [0.9705, 0.0295], 0
156.bmp, [0.9995, 0.0005], 0
97.bmp, [0.9964, 0.0036], 0
180.bmp, [0.9989, 0.0011], 0
126.bmp, [0.9979, 0.0021], 0
32.bmp, [0.9913, 0.0087], 0
79.bmp, [0.9919, 0.0081], 0
188.bmp, [0.9915, 0.0085], 0
197.bmp, [0.9981, 0.0019], 0
159.bmp, [1.0000, 0.0000], 0
6.bmp, [0.9977, 0.0023], 0
145.bmp, [0.9999, 0.0001], 0
198.bmp, [0.9987, 0.0013], 0
93.bmp, [0.9995, 0.0005], 0
128.bmp, [0.9998, 0.0002], 0
170.bmp, [0.9885, 0.0115], 0
75.bmp, [0.9991, 0.0009], 0
115.bmp, [0.9974, 0.0026], 0
68.bmp, [0.1237, 0.8763], 1
168.bmp, [0.0000, 1.0000], 1
100.bmp, [0.0009, 0.9991], 1
11.bmp, [0.0015, 0.9985], 1
179.bmp, [0.1382, 0.8618], 1
67.bmp, [0.0003, 0.9997], 1
46.bmp, [0.0025, 0.9975], 1
155.bmp, [0.0001, 0.9999], 1
186.bmp, [0.0000, 1.0000], 1
86.bmp, [0.0001, 0.9999], 1
56.bmp, [0.0094, 0.9906], 1
53.bmp, [0.0023, 0.9977], 1
101.bmp, [0.0010, 0.9990], 1
34.bmp, [0.0009, 0.9991], 1
1.bmp, [0.0003, 0.9997], 1
121.bmp, [0.0265, 0.9735], 1
21.bmp, [0.0005, 0.9995], 1
36.bmp, [0.0002, 0.9998], 1
9.bmp, [0.0013, 0.9987], 1
94.bmp, [0.0013, 0.9987], 1
164.bmp, [0.0005, 0.9995], 1
109.bmp, [0.0006, 0.9994], 1
16.bmp, [0.0005, 0.9995], 1
138.bmp, [0.0000, 1.0000], 1
125.bmp, [0.0002, 0.9998], 1
66.bmp, [0.0003, 0.9997], 1
135.bmp, [0.0020, 0.9980], 1
122.bmp, [0.0006, 0.9994], 1
134.bmp, [0.0002, 0.9998], 1
8.bmp, [0.0059, 0.9941], 1
131.bmp, [0.0010, 0.9990], 1
108.bmp, [0.0013, 0.9987], 1
48.bmp, [0.0032, 0.9968], 1
22.bmp, [0.0022, 0.9978], 1
102.bmp, [0.0015, 0.9985], 1
65.bmp, [0.0055, 0.9945], 1
111.bmp, [0.0005, 0.9995], 1
143.bmp, [0.4015, 0.5985], 1
39.bmp, [0.0001, 0.9999], 1
29.bmp, [0.0042, 0.9958], 1
17.bmp, [0.0003, 0.9997], 1
5.bmp, [0.1153, 0.8847], 1
7.bmp, [0.0159, 0.9841], 1
84.bmp, [0.0003, 0.9997], 1
123.bmp, [0.0000, 1.0000], 1
142.bmp, [0.0105, 0.9895], 1
57.bmp, [0.0002, 0.9998], 1
10.bmp, [0.0074, 0.9926], 1
64.bmp, [0.0073, 0.9927], 1
82.bmp, [0.0013, 0.9987], 1
61.bmp, [0.0003, 0.9997], 1
124.bmp, [0.0004, 0.9996], 1
196.bmp, [0.0003, 0.9997], 1
191.bmp, [0.0005, 0.9995], 1
19.bmp, [0.0215, 0.9785], 1
50.bmp, [0.0005, 0.9995], 1
90.bmp, [0.0006, 0.9994], 1
165.bmp, [0.0006, 0.9994], 1
114.bmp, [0.0001, 0.9999], 1
160.bmp, [0.0028, 0.9972], 1
18.bmp, [0.0000, 1.0000], 1
173.bmp, [0.0004, 0.9996], 1
116.bmp, [0.0612, 0.9388], 1
45.bmp, [0.0003, 0.9997], 1
127.bmp, [0.0581, 0.9419], 1
69.bmp, [0.0003, 0.9997], 1
2.bmp, [0.0002, 0.9998], 1
174.bmp, [0.0006, 0.9994], 1
73.bmp, [0.0003, 0.9997], 1
76.bmp, [0.0002, 0.9998], 1
12.bmp, [0.1277, 0.8723], 1
78.bmp, [0.0004, 0.9996], 1
3.bmp, [0.0000, 1.0000], 1
33.bmp, [0.0007, 0.9993], 1
148.bmp, [0.0097, 0.9903], 1
183.bmp, [0.0009, 0.9991], 1
106.bmp, [0.0004, 0.9996], 1
137.bmp, [0.0013, 0.9987], 1
20.bmp, [0.0024, 0.9976], 1
72.bmp, [0.0022, 0.9978], 1
58.bmp, [0.0073, 0.9927], 1
40.bmp, [0.0004, 0.9996], 1
77.bmp, [0.0305, 0.9695], 1
153.bmp, [0.0002, 0.9998], 1
166.bmp, [0.0181, 0.9819], 1
133.bmp, [0.0022, 0.9978], 1
23.bmp, [0.0000, 1.0000], 1
136.bmp, [0.0000, 1.0000], 1
89.bmp, [0.0015, 0.9985], 1
103.bmp, [0.0008, 0.9992], 1
49.bmp, [0.0011, 0.9989], 1
182.bmp, [0.0000, 1.0000], 1
95.bmp, [0.0837, 0.9163], 1
43.bmp, [0.0015, 0.9985], 1
152.bmp, [0.0000, 1.0000], 1
184.bmp, [0.0000, 1.0000], 1
44.bmp, [0.0024, 0.9976], 1
193.bmp, [0.0008, 0.9992], 1
71.bmp, [0.0006, 0.9994], 1
147.bmp, [0.0046, 0.9954], 1
119.bmp, [0.0005, 0.9995], 1
4.bmp, [0.0009, 0.9991], 1
52.bmp, [0.0000, 1.0000], 1
163.bmp, [0.0012, 0.9988], 1
104.bmp, [0.0012, 0.9988], 1
15.bmp, [0.0000, 1.0000], 1
172.bmp, [0.0004, 0.9996], 1
141.bmp, [0.0001, 0.9999], 1
37.bmp, [0.0033, 0.9967], 1
80.bmp, [0.0003, 0.9997], 1
117.bmp, [0.0045, 0.9955], 1
88.bmp, [0.0006, 0.9994], 1
158.bmp, [0.0096, 0.9904], 1
99.bmp, [0.0504, 0.9496], 1
178.bmp, [0.0000, 1.0000], 1
13.bmp, [0.0034, 0.9966], 1
189.bmp, [0.9900, 0.0100], 0
112.bmp, [0.0000, 1.0000], 1
55.bmp, [0.0002, 0.9998], 1
74.bmp, [0.0064, 0.9936], 1
91.bmp, [0.0168, 0.9832], 1
139.bmp, [0.0001, 0.9999], 1
149.bmp, [0.0005, 0.9995], 1
0.bmp, [0.0346, 0.9654], 1
190.bmp, [0.0001, 0.9999], 1
162.bmp, [0.0005, 0.9995], 1
177.bmp, [0.0026, 0.9974], 1
181.bmp, [0.0002, 0.9998], 1
151.bmp, [0.3495, 0.6505], 1
132.bmp, [0.0004, 0.9996], 1
161.bmp, [0.0009, 0.9991], 1
63.bmp, [0.0334, 0.9666], 1
87.bmp, [0.0001, 0.9999], 1
35.bmp, [0.0003, 0.9997], 1
157.bmp, [0.0002, 0.9998], 1
118.bmp, [0.0029, 0.9971], 1
54.bmp, [0.0010, 0.9990], 1
195.bmp, [0.0001, 0.9999], 1
194.bmp, [0.0002, 0.9998], 1
92.bmp, [0.0013, 0.9987], 1
144.bmp, [0.0013, 0.9987], 1
107.bmp, [0.0044, 0.9956], 1
31.bmp, [0.0017, 0.9983], 1
62.bmp, [0.0009, 0.9991], 1
96.bmp, [0.0010, 0.9990], 1
146.bmp, [0.0002, 0.9998], 1
105.bmp, [0.0260, 0.9740], 1
28.bmp, [0.0169, 0.9831], 1
83.bmp, [0.0005, 0.9995], 1
185.bmp, [0.0003, 0.9997], 1
129.bmp, [0.0029, 0.9971], 1
30.bmp, [0.0117, 0.9883], 1
27.bmp, [0.0000, 1.0000], 1
150.bmp, [0.0005, 0.9995], 1
171.bmp, [0.0040, 0.9960], 1
42.bmp, [0.0001, 0.9999], 1
113.bmp, [0.0159, 0.9841], 1
110.bmp, [0.0011, 0.9989], 1
41.bmp, [0.0015, 0.9985], 1
51.bmp, [0.0024, 0.9976], 1
60.bmp, [0.0066, 0.9934], 1
14.bmp, [0.0002, 0.9998], 1
38.bmp, [0.0009, 0.9991], 1
140.bmp, [0.0002, 0.9998], 1
169.bmp, [0.0017, 0.9983], 1
192.bmp, [0.0018, 0.9982], 1
154.bmp, [0.0001, 0.9999], 1
187.bmp, [0.0904, 0.9096], 1
24.bmp, [0.0002, 0.9998], 1
199.bmp, [0.0225, 0.9775], 1
130.bmp, [0.1075, 0.8925], 1
70.bmp, [0.0001, 0.9999], 1
120.bmp, [0.0001, 0.9999], 1
167.bmp, [0.0816, 0.9184], 1
26.bmp, [0.0003, 0.9997], 1
59.bmp, [0.0039, 0.9961], 1
25.bmp, [0.0004, 0.9996], 1
81.bmp, [0.0012, 0.9988], 1
176.bmp, [0.0003, 0.9997], 1
175.bmp, [0.0002, 0.9998], 1
85.bmp, [0.0332, 0.9668], 1
47.bmp, [0.0003, 0.9997], 1
98.bmp, [0.1133, 0.8867], 1
156.bmp, [0.0010, 0.9990], 1
97.bmp, [0.0010, 0.9990], 1
180.bmp, [0.0143, 0.9857], 1
126.bmp, [0.0015, 0.9985], 1
32.bmp, [0.5630, 0.4370], 0
79.bmp, [0.0000, 1.0000], 1
188.bmp, [0.0002, 0.9998], 1
197.bmp, [0.0054, 0.9946], 1
159.bmp, [0.1314, 0.8686], 1
6.bmp, [0.0004, 0.9996], 1
145.bmp, [0.0001, 0.9999], 1
198.bmp, [0.0001, 0.9999], 1
93.bmp, [0.0001, 0.9999], 1
128.bmp, [0.0000, 1.0000], 1
170.bmp, [0.0002, 0.9998], 1
75.bmp, [0.0000, 1.0000], 1
115.bmp, [0.0000, 1.0000], 1
